Serie,Fecha,Folio,Razón Social,Total,IVA,Descuento Documento 1,Neto,Cancelado,UUID,Nombre de la Moneda,Nombre del agente
IMP,06/01/2020,613,GERARDO ARREDONDO HERNANDEZ,11020.00,"1.520,00",0,"9.500,00",0,5C0078B9-37CA-4F27-8168-D8F4DFF11C7F,Peso Mexicano,Yarisbeth
IMP,06/01/2020,614,GERARDO ARREDONDO HERNANDEZ,8287.27,"1.143,07",0,"7.938,00",0,7EF4F1B6-A7E7-4464-BAA6-9D442BF8B067,Peso Mexicano,Yarisbeth
IMP,06/01/2020,615,FUJITA CORPORATION,9222.00,"1.272,00",0,"7.950,00",0,F66A889E-3691-48E4-AD56-0A5782784A61,Peso Mexicano,Yarisbeth
IMP,07/01/2020,616,GERARDO ARREDONDO HERNANDEZ,1639.92,"226,2",0,"1.413,72",0,0508BFC1-A7BF-4D5D-965A-99AB8623CD50,Peso Mexicano,David Martin
IMP,07/01/2020,617,DISTRIBUIDORA DE MATERIALES TRIANGULO,6722.20,"927,2",0,"5.795,00",0,0F158D7B-4125-407C-8C9C-89A5675871B3,Peso Mexicano,Yarisbeth
IMP,07/01/2020,618,RIGS TECHNOLOGY SAPI DE CV,1392.00,192,0,"1.200,00",0,CC956FB3-C8F8-4069-BC78-27CE7B42206B,Peso Mexicano,Yarisbeth
IMP,07/01/2020,619,ABEL ESPITIA MARTINEZ,269.12,"37,12",0,232,0,8CA9BACC-C4AC-440E-857A-BDA4E9750316,Peso Mexicano,Yarisbeth
IMP,07/01/2020,620,PRODUCTOS FRUGO,6380.00,880,0,"5.500,00",0,E5F2E498-30BD-442F-BE51-058C8578BAAB,Peso Mexicano,Yarisbeth
IMP,07/01/2020,621,ESTRATEGIAS FINANCIERAS Y DE PROTECCION PATRIMONIAL UNIR,1009.20,"139,2",0,870,0,25A86D44-6C46-4F5D-A7F4-6D5FC68520DE,Peso Mexicano,Yarisbeth
IMP,07/01/2020,622,VICTOR KARIM COBOS LOPEZ,134.56,"18,56",0,116,0,FA25C087-7138-408C-A5C8-F8704D97CB22,Peso Mexicano,Yarisbeth
IMP,07/01/2020,623,IQFRESH TRANSPORT,1749.28,"241,28",0,"1.508,00",0,8EECA035-7499-459F-9519-37C2BABC51B5,Peso Mexicano,(Ninguno)
IMPM,07/01/2020,237,PATRICIA ILEANA ESCÁRCEGA MORALES,4408.00,608,0,"3.800,00",0,37A62840-8C91-4463-B70A-14249C68766A,Peso Mexicano,Yarisbeth
IMP,09/01/2020,627,BIANCA ELIZABETH HERRERA BONILLA,19028.64,"2.624,64",0,"16.404,00",0,E5A7E0D4-FF2E-4486-849B-D0A856C69FB8,Peso Mexicano,Yarisbeth
IMP,09/01/2020,629,PRODUCTOS FRUGO,2028.05,"279,73",0,"1.748,32",0,6B49306E-1BF7-471E-8BC0-54C084193817,Dólar Americano,Yarisbeth
IMP,09/01/2020,630,DISTRIBUIDORA DE MATERIALES TRIANGULO,6722.20,"927,2",0,"5.795,00",0,DD1BDEB6-D7CF-4235-AA6F-FEB097FA57E2,Peso Mexicano,Yarisbeth
IMP,09/01/2020,631,DISTRIBUIDORA DE MATERIALES TRIANGULO,1164.80,"160,66",0,"1.004,14",0,FD9C22A5-5C83-44C7-84FC-A02555D64C48,Peso Mexicano,Yarisbeth
IMP,09/01/2020,632,DAVID MARTIN SANCHEZ,3000.00,"413,79",0,"2.586,21",1,0E1B99C2-1C33-4019-A018-2D0DFA44438C,Peso Mexicano,Yarisbeth
IMP,09/01/2020,633,SERGIO GARCIA ALMARAZ,1740.00,240,0,"1.500,00",1,FD0B20D5-3431-4CC3-912D-30B0FDADAC87,Peso Mexicano,Yarisbeth
IMP,09/01/2020,635,PARTIDO ACCION NACIONAL,928.00,128,0,800,1,80F9420A-77DA-43F9-A47D-029DFFDE5740,Peso Mexicano,Yarisbeth
IMP,09/01/2020,636,ABEL ESPITIA MARTINEZ,807.36,"111,36",0,696,0,6BF9E484-21DD-4256-B220-7DAB743D0DC9,Peso Mexicano,Yarisbeth
IMP,13/01/2020,637,GS SERVICIOS DE CONSTRUCCION ,2558.96,"352,96",0,"2.206,00",0,6766352E-B5F8-4E3F-9140-20A83E37A354,Peso Mexicano,David Martin
IMP,13/01/2020,638,ANTONIA NUÑEZ HERNANDEZ,424.99,"58,62",0,"366,37",0,34D6EE90-CF6E-46AC-A8F1-365208B6497C,Peso Mexicano,David Martin
IMP,20/01/2020,639,SAGOT,4215.19,"581,41",0,"3.633,78",0,CE6B9C48-A2B8-4F64-A2F7-D8F1420721E5,Dólar Americano,David Martin
IMP,20/01/2020,640,SAGOT,144877.62,"19.983,12",0,"124.894,50",0,DE55B2DC-3C78-4B4C-9905-519EB53D2582,Peso Mexicano,David Martin
IMPM,20/01/2020,238,GRUPO MODUS ,20706.00,"2.856,00",0,"17.850,00",0,A912EEB5-CFA6-40E9-A3BD-265B5D74ED28,Peso Mexicano,Yarisbeth
IMPM,20/01/2020,239,GRUPO MODUS ,4210.80,"580,8",0,"3.630,00",0,CAB87045-ABCA-481D-977F-26342899FC83,Peso Mexicano,Yarisbeth
IMPM,20/01/2020,240,GRUPO MODUS ,4210.80,"580,8",0,"3.630,00",0,B1FFC569-05C0-4D47-BA03-7B4E7B9F0574,Peso Mexicano,Yarisbeth
FCNS,21/01/2020,564,ALIMENTOS TURISTICOS DE SALAMANCA ,3062.40,"422,4",0,"2.640,00",1,B72C8C40-DABB-4D82-BDA3-47EDA87177BE,Peso Mexicano,David Martin
IMP,22/01/2020,641,CARLOS EDUARDO CAUDILLO MÉNDEZ,450.00,"62,07",0,"387,93",1,905E7235-FA6C-4883-8325-FB3C747959C6,Peso Mexicano,Yarisbeth
IMP,22/01/2020,642,RIGS TECHNOLOGY SAPI DE CV,6960.00,960,0,"6.000,00",0,0B0FB268-0971-41DA-8BC5-156149F51D52,Peso Mexicano,Yarisbeth
IMP,22/01/2020,643,PROAMBIENTE DEL BAJIO ,17111.16,"2.360,16",0,"14.751,00",0,7D841EAD-0D83-4566-AD32-CD4A4292227D,Peso Mexicano,David Martin
IMP,23/01/2020,644,VITABAJIO,1276.00,176,0,"1.100,00",1,9559CD6F-5CCC-4FD7-AEF2-86809ADEBB8A,Peso Mexicano,Yarisbeth
IMP,23/01/2020,645,VITABAJIO,2552.00,352,0,"2.200,00",0,283BBBB7-2C9C-4C07-B595-FFDEBE59D976,Peso Mexicano,Yarisbeth
IMPM,25/01/2020,241,ESTRATEGIAS FINANCIERAS Y DE PROTECCION PATRIMONIAL UNIR,8120.00,"1.120,00",0,"7.000,00",0,EC110A92-C668-4013-8EC1-1B5414808A58,Peso Mexicano,Yarisbeth
FCNS,28/01/2020,566,INSTITUTO DEL BAJIO,4144.68,"571,68",0,"3.573,00",0,F95B47C8-9743-472E-85AF-7DFD52C10039,Peso Mexicano,Yarisbeth
IMPM,28/01/2020,242,VELOCIDAD Y MOTOCICLISMO DE SALAMANCA ,7000.00,"965,52",0,"6.034,48",0,5B9491FD-6A91-4A2B-9FD3-F7041F4A15B2,Peso Mexicano,Yarisbeth
FCNS,29/01/2020,567,ALIMENTOS TURISTICOS DE SALAMANCA ,3062.40,"422,4",0,"2.640,00",0,81D0BA33-3EF2-4AE2-BB24-90F2C3450AA0,Peso Mexicano,(Ninguno)
FCNS,29/01/2020,568,ESCUELA PREPARATORIA LUIS SPOTA,18493.88,"2.550,88",0,"15.943,00",0,83DF0BBB-A66C-4247-9E24-483189303D17,Peso Mexicano,Yarisbeth
IMP,29/01/2020,646,BEAVER TRAILERS DE MEXICO,23200.00,"3.200,00",0,"20.000,00",1,FA0C513D-B085-48AB-B621-2B78F8DD85CA,Peso Mexicano,Gandhi Flores
IMPM,29/01/2020,243,ESTRATEGIAS FINANCIERAS Y DE PROTECCION PATRIMONIAL UNIR,16240.00,"2.240,00",0,"14.000,00",0,BB0DF0F6-0700-4877-9265-2D9259CAA5C4,Peso Mexicano,Yarisbeth
IMP,31/01/2020,648,AGROCENTRO BAJIO ,45936.80,"6.336,11",0,"44.000,77",1,59023392-F166-469E-80AB-F13D3ED5BE96,Peso Mexicano,Alejandro Velazquez
IMP,31/01/2020,649,CARLOS EDUARDO CAUDILLO MÉNDEZ,450.00,"62,07",0,"387,93",0,C7CDC4D5-4108-4D15-9915-1DD95BFAE699,Peso Mexicano,Yarisbeth
IMP,31/01/2020,650,AGROCENTRO BAJIO ,45936.80,"6.336,11",0,"44.000,77",0,9C2D66EC-8973-462C-88A3-5D9C29851D8F,Peso Mexicano,Yarisbeth
IMP,01/02/2020,651,GERARDO ARREDONDO HERNANDEZ,11020.00,"1.520,00",0,"9.500,00",0,139B03E9-40B1-4CCC-BEF5-1623CCCF10DB,Peso Mexicano,Yarisbeth
IMP,01/02/2020,652,GERARDO ARREDONDO HERNANDEZ,8287.27,"1.143,07",0,"7.938,00",0,538155BA-59CF-4838-AAC5-A994E8C227C6,Peso Mexicano,Yarisbeth
IMP,04/02/2020,653,FUJITA CORPORATION,9222.00,"1.272,00",0,"7.950,00",0,04F696BC-BA12-4BBC-928A-C145D50DE912,Peso Mexicano,Yarisbeth
IMP,04/02/2020,654,DISTRIBUIDORA DE MATERIALES TRIANGULO,6722.20,"927,2",0,"5.795,00",0,3B92A8C3-44CE-4AC3-8C59-6AD8CD53FB04,Peso Mexicano,Yarisbeth
IMP,04/02/2020,655,RIGS TECHNOLOGY SAPI DE CV,1392.00,192,0,"1.200,00",0,AAC99250-5666-47A7-BD55-011585E38DAB,Peso Mexicano,Yarisbeth
IMP,04/02/2020,656,ABEL ESPITIA MARTINEZ,269.12,"37,12",0,232,0,8805703E-0898-4884-803C-A7774CD28792,Peso Mexicano,Yarisbeth
IMP,04/02/2020,657,PRODUCTOS FRUGO,6380.00,880,0,"5.500,00",0,04AE4717-D0A0-4376-8DB7-3B1C864C63E8,Peso Mexicano,Yarisbeth
IMP,04/02/2020,658,IQFRESH TRANSPORT,1749.28,"241,28",0,"1.508,00",0,26B7E81C-3C3A-4CE8-8B70-091D67DF960D,Peso Mexicano,Yarisbeth
IMP,04/02/2020,659,JOFLOSA DISTRIBUCIONES ,1258.60,"173,6",0,"1.085,00",0,41BAF010-1D45-4913-AD06-7CA68A0C2AF4,Peso Mexicano,Jorge Garcia
FCNS,05/02/2020,569,CORPORATIVO DE COMBUSTIBLES ,986.00,136,0,850,0,A1FC4B1B-2348-497D-9D90-3B0740860CBF,Peso Mexicano,Yarisbeth
IMP,06/02/2020,660,VICTOR KARIM COBOS LOPEZ,134.56,"18,56",0,116,0,D4074C17-9B07-4CA5-9A1B-0D788B0D2DBB,Peso Mexicano,Yarisbeth
IMP,06/02/2020,661,MEXICO INN EXPRESS SALAMANCA ,28326.63,"3.907,12",0,"24.419,51",0,3CC9FDCD-129D-447A-BBF2-D9B8A5834E25,Peso Mexicano,David Martin
IMP,06/02/2020,662,ESTRATEGIAS FINANCIERAS Y DE PROTECCION PATRIMONIAL UNIR,1345.60,"185,6",0,"1.160,00",0,21736938-8A04-4E17-A05A-05AE5749E050,Peso Mexicano,Yarisbeth
IMPM,06/02/2020,244,ARMANDO DANIEL MENDEZ QUINTANILLA,3349.50,462,0,"2.887,50",0,30E3D4D7-1304-44CB-A444-17FCF0D5E6D2,Peso Mexicano,Yarisbeth
IMPM,06/02/2020,245,GRUPO MODUS ,4210.80,"580,8",0,"3.630,00",0,D0409F50-EBC0-40D6-9D02-C438BBFF6871,Peso Mexicano,Yarisbeth
IMP,07/02/2020,663,GERARDO ARREDONDO HERNANDEZ,1836.01,"253,24",0,"1.582,77",0,857489B1-E17C-4779-AAAD-123DAC7B2610,Peso Mexicano,David Martin
FCNS,10/02/2020,570,JOFLOSA DISTRIBUCIONES ,4930.00,680,0,"4.250,00",1,21BF376B-88C5-472C-9103-81A68560912C,Peso Mexicano,Yarisbeth
IMP,10/02/2020,665,SAGOT,221093.97,"30.495,72",0,"190.598,25",0,52FD5DE7-9896-4FA5-9F18-D377ECCFAA4F,Peso Mexicano,David Martin
IMP,10/02/2020,666,SAGOT,28843.77,"3.978,45",0,"24.865,32",0,64E74E28-3806-4D93-8C9E-810B92BBBAD2,Dólar Americano,David Martin
FCNS,11/02/2020,571,CORPORATIVO DE COMBUSTIBLES ,1479.00,204,0,"1.275,00",1,875810E4-3F4C-49E5-AD4F-D91EC371BBDC,Peso Mexicano,Yarisbeth
IMP,11/02/2020,667,BIANCA ELIZABETH HERRERA BONILLA,11020.00,"1.520,00",0,"9.500,00",0,F19B23C7-9105-4EB6-A452-541E0BC95EF8,Peso Mexicano,(Ninguno)
IMP,13/02/2020,668,PRODUCTORA Y COMERCIALIZADORA DE MANGOS FINOS,8425.00,"1.162,07",0,"7.262,93",0,AF380CFF-8AC6-4958-9FB1-BE2EB62440C5,Peso Mexicano,David Martin
IMP,14/02/2020,669,SAGOT,62616.48,"8.636,76",0,"53.979,72",0,12300CF6-B0F4-4E40-B765-F0C35EE415D0,Peso Mexicano,David Martin
IMP,14/02/2020,670,GERARDO ARREDONDO HERNANDEZ,290.00,40,0,250,0,EFB57FA3-A4ED-4048-8BE2-A5D36EB79F01,Peso Mexicano,David Martin
IMP,14/02/2020,671,JEMAR MOTORS SERVICIOS INTEGRALES ,2611.96,"360,27",0,"2.251,69",0,39CF689E-6F94-4CF2-815F-018C803FFBED,Peso Mexicano,David Martin
IMP,20/02/2020,672,BEAVER TRAILERS DE MEXICO,23200.00,"3.200,00",0,"20.000,00",0,4C90C2FF-0B47-4BD2-86FE-90CADDB39BD7,Peso Mexicano,Yarisbeth
IMP,20/02/2020,673,GERARDO ARREDONDO HERNANDEZ,29244.71,"4.033,75",0,"25.210,96",0,86DD362D-4761-4CD2-8CB6-F1BAF3BD94F3,Peso Mexicano,David Martin
IMP,21/02/2020,674,FERRETERAS UNIDAS ,6626.96,"914,07",0,"5.712,89",0,7DF41ECA-C70F-4AE9-9D98-44B58FC61E4D,Peso Mexicano,Gandhi Flores
IMPM,21/02/2020,246,LUIS ALBERTO ACEVEDO GUZMAN,6960.00,960,0,"6.000,00",0,44B8318A-2CAB-4B1D-BC01-C141610F1251,Peso Mexicano,Yarisbeth
FCNS,24/02/2020,573,JOFLOSA DISTRIBUCIONES ,8925.02,"1.231,04",0,"7.693,98",1,B66CBDD1-EE46-4601-B392-73BF5F7D7994,Peso Mexicano,Yarisbeth
IMPM,24/02/2020,247,EVA ECHEVERRIA ALANIS,870.00,120,0,750,0,E686C048-19C7-4417-9031-0B6E0F1B0939,Peso Mexicano,Yarisbeth
IMPM,24/02/2020,248,ESTRATEGIAS FINANCIERAS Y DE PROTECCION PATRIMONIAL UNIR,12180.00,"1.680,00",0,"10.500,00",0,73B9C503-1AD0-4A47-8C9F-24B4C801B494,Peso Mexicano,Yarisbeth
IMP,26/02/2020,675,J CLIMA SISTEMAS MÉXICO ,601.69,"82,99",0,"518,7",0,6063C45A-E158-42EA-BD9F-C85CE65EC7B7,Peso Mexicano,Gandhi Flores
IMP,28/02/2020,676,CARLOS ISRAEL CIENFUEGOS,2936.68,"405,06",0,"2.531,62",0,1A93B94A-4DBE-4327-B84C-D77FA3FB45B1,Peso Mexicano,David Martin
A,29/02/2020,678,SAGOT,1426.56,"196,77",0,"1.229,79",0,27A3A1BB-6247-4E96-864E-DBA5A5E0580F,Dólar Americano,Yarisbeth
S7R,29/02/2020,2,PUBLICO EN GENERAL,20100.00,"2.772,41",0,"17.327,59",0,40259E7A-FAC5-4D24-97E9-DFE817E35BBB,Peso Mexicano,Yarisbeth
IMP,02/03/2020,679,GERARDO ARREDONDO HERNANDEZ,11020.00,"1.520,00",0,"9.500,00",0,40C4B894-55D1-4175-A9CC-5EAF50162CAF,Peso Mexicano,Yarisbeth
IMP,03/03/2020,680,GERARDO ARREDONDO HERNANDEZ,8287.27,"1.143,07",0,"7.938,00",0,D5A59245-F213-48DB-A4C5-AFC8ED2A9ED8,Peso Mexicano,Yarisbeth
IMP,03/03/2020,681,FUJITA CORPORATION,9222.00,"1.272,00",0,"7.950,00",0,178572DD-A789-4F6D-B87E-0E828ABCCE07,Peso Mexicano,Yarisbeth
IMP,03/03/2020,682,DISTRIBUIDORA DE MATERIALES TRIANGULO ,6722.20,"927,2",0,"5.795,00",0,747B3B64-296F-4071-8B37-FC9CE22C1040,Peso Mexicano,Yarisbeth
IMP,03/03/2020,683,RIGS TECHNOLOGY SAPI DE CV,1392.00,192,0,"1.200,00",0,B2FCDFCC-F55D-4F92-9BEC-59A15EF27637,Peso Mexicano,Yarisbeth
IMP,03/03/2020,684,ABEL ESPITIA MARTINEZ,269.12,"37,12",0,232,0,FF3A542E-5AB3-4D03-8171-9B8C9192908E,Peso Mexicano,Yarisbeth
IMP,03/03/2020,685,PRODUCTOS FRUGO,6380.00,880,0,"5.500,00",0,9B7BE926-A437-4787-B0E8-A75E0D254751,Peso Mexicano,Yarisbeth
IMP,03/03/2020,686,ESTRATEGIAS FINANCIERAS Y DE PROTECCION PATRIMONIAL UNIR,1345.60,"185,6",0,"1.160,00",0,21198BD9-12C0-4549-86C5-B611D7FBAF34,Peso Mexicano,Yarisbeth
IMP,03/03/2020,687,VICTOR KARIM COBOS LOPEZ,134.56,"18,56",0,116,0,BF8CA7FE-F9B1-4475-AF37-982B1B0B49BF,Peso Mexicano,Yarisbeth
IMP,03/03/2020,688,IQFRESH TRANSPORT,2018.40,"278,4",0,"1.740,00",0,22E28134-C6D3-4B44-A482-3B85CFC394A1,Peso Mexicano,Yarisbeth
IMP,03/03/2020,689,VAPORIZACIONES  Y MULTISERVICIOS CASILLAS ,336.40,"46,4",0,290,0,BE62DE9B-84B7-4319-AFD1-5D2B3DFF72CF,Peso Mexicano,Yarisbeth
IMPM,03/03/2020,249,GRUPO MODUS ,4210.80,"580,8",0,"3.630,00",0,1BA2A431-B106-4019-AF93-B36D087EDD80,Peso Mexicano,Yarisbeth
IMP,04/03/2020,690,BIANCA ELIZABETH HERRERA BONILLA,2411.70,"332,65",0,"2.079,05",0,4B5134D8-36DC-4499-998C-9597F6375D61,Peso Mexicano,Yarisbeth
IMPM,04/03/2020,250,ESCUELA PREPARATORIA LUIS SPOTA,11901.60,"1.641,60",0,"10.800,00",0,2F6370FB-36CF-4059-85AC-C141AB4864AD,Peso Mexicano,Yarisbeth
FCNS,05/03/2020,574,INSTITUTO DEL BAJIO,986.00,136,0,850,0,913E2653-3312-4176-8F40-132BDEB723DE,Peso Mexicano,Yarisbeth
FCNS,05/03/2020,575,ESCUELA PREPARATORIA LUIS SPOTA,2958.00,408,0,"2.550,00",0,8E79C58D-EF92-44F0-BB72-A1D459DD4956,Peso Mexicano,Yarisbeth
FCNS,05/03/2020,576,OCTAVIO MALANCHE JIMENEZ,986.00,136,0,850,0,4F4B90B8-E363-4DF2-B7FD-A76DEB709909,Peso Mexicano,Yarisbeth
FCNS,05/03/2020,577,TSO Y ASOCIADOS,5916.00,816,0,"5.100,00",1,F68E56FA-14D0-4A7C-8D25-C5C3D419C289,Peso Mexicano,Yarisbeth
FCNS,06/03/2020,578,TSO Y ASOCIADOS,4524.00,624,0,"3.900,00",1,27D24CB7-C9FE-4B7A-8D98-FA2A2E457E8F,Peso Mexicano,Yarisbeth
FCNS,06/03/2020,579,INGENIERIA DISEÑO ESPECIALIZADO Y MONTAJE DE ESTRUCTURAS SA,3062.40,"422,4",0,"2.640,00",0,0C67E7F4-BB74-4CB4-95C4-6500E6F8B060,Peso Mexicano,Gandhi Flores
FCNS,09/03/2020,580,21 RESTO ,754.00,104,0,650,0,A271B284-5FFC-4C1A-892C-5C98B0321BE8,Peso Mexicano,Gandhi Flores
IMP,12/03/2020,691,SAGOT,8397.10,"1.158,22",0,"7.238,88",0,85F33C29-4261-4857-8F6A-161EE007AAD8,Dólar Americano,David Martin
IMP,12/03/2020,692,SAGOT,58464.00,"8.064,00",0,"50.400,00",0,0546A906-E854-4100-80C1-3884B28A4E28,Peso Mexicano,David Martin
IMP,12/03/2020,693,J CLIMA SISTEMAS MÉXICO ,468.05,"64,56",0,"403,49",1,C6320D1E-8458-4B4A-B038-999A14D2CA41,Dólar Americano,David Martin
IMP,13/03/2020,694,J CLIMA SISTEMAS MÉXICO ,452.39,"62,4",0,"403,49",0,1FF132F1-7FA3-4D47-87A5-434977A2CB57,Dólar Americano,David Martin
IMP,17/03/2020,695,GERARDO ARREDONDO HERNANDEZ,2948.22,"406,65",0,"2.541,57",0,03CF0764-6278-4B17-A60C-CD6567EF4689,Peso Mexicano,(Ninguno)
FCNS,18/03/2020,584,CORPORATIVO DE COMBUSTIBLES ,2465.00,340,0,"2.125,00",0,6F95169A-534D-4697-9045-D1CD7D7BDF8C,Peso Mexicano,Yarisbeth
IMP,23/03/2020,698,VITABAJIO,56057.61,"7.732,08",0,"48.325,53",0,6014109E-615E-45A8-B15D-E5E25D0E2A22,Peso Mexicano,David Martin
FCNS,24/03/2020,585,MC JETS ,1479.00,204,0,"1.275,00",1,C1165EA9-F767-4B25-A805-740071E3B408,Peso Mexicano,Yarisbeth
FCNS,24/03/2020,586,JOSE LUIS RAMIREZ ROBLES,7888.00,"1.088,00",0,"6.800,00",1,35710EBE-DAC7-445F-9457-0AF18010DCF4,Peso Mexicano,Yarisbeth
IMP,24/03/2020,699,ABEL ESPITIA MARTINEZ,986.00,136,0,850,0,C436DCC0-25EA-4FF5-AE2D-3C7E33104572,Peso Mexicano,Yarisbeth
IMP,24/03/2020,700,JOFLOSA DISTRIBUCIONES ,2958.00,408,0,"2.550,00",0,302AE144-0947-4AF0-9DE0-EB66AF91D520,Peso Mexicano,Yarisbeth
FCNS,25/03/2020,587,JOSE LUIS RAMIREZ ROBLES,1914.00,264,0,"1.650,00",0,1DFE0D32-0C08-4DB3-AA67-D428188034BB,Peso Mexicano,Yarisbeth
IMP,25/03/2020,701,HOWARD GRANADOS SERRALLONGA,2552.00,352,0,"2.200,00",0,B7893B93-DC44-46DD-A926-798AFEE9624C,Peso Mexicano,Yarisbeth
IMP,25/03/2020,702,SAGOT,62615.64,"8.636,64",0,"53.979,00",0,434714A4-43C6-4970-9020-5FA6ADBB6253,Peso Mexicano,David Martin
IMP,25/03/2020,703,GS SERVICIOS DE CONSTRUCCION ,2320.00,320,0,"2.000,00",1,9EA2CB5E-9D66-4533-8E58-38866BC3CCEB,Peso Mexicano,Alejandro Velazquez
FCNS,26/03/2020,588,MC JETS ,986.00,136,0,850,0,F37AD7C8-F5BB-4ACC-BF22-B94F2BA750DA,Peso Mexicano,Yarisbeth
IMP,26/03/2020,704,INSTITUTO DEL BAJIO,986.00,136,0,850,1,A8D88EFE-0620-4679-82CA-A72993AD8D14,Peso Mexicano,Ricardo Martinez
FCNS,27/03/2020,589,ESCUELA PREPARATORIA LUIS SPOTA,986.00,136,0,850,0,EEAFF748-A88A-4067-B4D3-8AF968D01329,Peso Mexicano,Yarisbeth
IMP,27/03/2020,705,SAGOT,2302.69,"317,61",0,"1.985,08",1,CBE71851-D0F4-4BC1-A1EB-80DB2A0F56DE,Dólar Americano,David Martin
FCNS,30/03/2020,590,COPORATIVO ARHUMANO ,5314.54,"733,04",0,"4.581,50",1,B9E8DAD5-0ED3-41CD-923B-405F528B7913,Peso Mexicano,Gandhi Flores
FCNS,30/03/2020,591,OCTAVIO MALANCHE JIMENEZ,986.00,136,0,850,0,112936E5-D328-4A36-A9D4-16C0CA999D4B,Peso Mexicano,Yarisbeth
IMP,30/03/2020,706,SAGOT,2659.02,"366,76",0,"2.292,26",0,F60F067E-7CD1-4508-BBE3-273381E9591F,Dólar Americano,David Martin
IMP,30/03/2020,707,SAGOT,14616.00,"2.016,00",0,"12.600,00",0,4A2955EB-58C9-4407-98FE-BCD1B4B2B935,Peso Mexicano,David Martin
IMPM,30/03/2020,251,INSTITUTO DEL BAJIO,55461.95,"7.649,92",0,"47.812,03",0,1B4B344D-5E58-48D4-B4D1-04A2A275563A,Peso Mexicano,David Martin
FCNS,31/03/2020,592,COPORATIVO ARHUMANO ,5314.54,"733,04",0,"4.581,50",0,954F1A58-1D5F-4D30-A6B6-F176FC23044C,Peso Mexicano,Yarisbeth
FCNS,31/03/2020,593,SAGOT,9871.60,"1.361,60",0,"8.510,00",0,54405864-1796-4029-9BC7-6448030791AA,Peso Mexicano,Yarisbeth
IMPM,31/03/2020,252,VELOCIDAD Y MOTOCICLISMO DE SALAMANCA ,7000.00,"965,52",0,"6.034,48",0,7043188D-2D81-430E-A195-1B7AD84A9518,Peso Mexicano,Yarisbeth
FCNS,02/04/2020,594,CORPORATIVO DE COMBUSTIBLES ,493.00,68,0,425,0,4C59A3ED-5700-43ED-8782-DA99FFD2D9FC,Peso Mexicano,Yarisbeth
IMP,02/04/2020,708,GERARDO ARREDONDO HERNANDEZ,11020.00,"1.520,00",0,"9.500,00",0,723910F3-9C0A-44FD-9326-734EDA6FBAD1,Peso Mexicano,Yarisbeth
IMP,02/04/2020,709,GERARDO ARREDONDO HERNANDEZ,8287.27,"1.143,07",0,"7.938,00",0,D9853129-37DD-4259-A77A-C859BC8F66F2,Peso Mexicano,Yarisbeth
IMP,02/04/2020,710,FUJITA CORPORATION,9222.00,"1.272,00",0,"7.950,00",0,96C8C6B7-9C14-4283-A623-66E38A9F1768,Peso Mexicano,Yarisbeth
IMP,02/04/2020,711,DISTRIBUIDORA DE MATERIALES TRIANGULO,6722.20,"927,2",0,"5.795,00",0,A7C468FE-C54B-426A-BDD9-BACD3E7D8306,Peso Mexicano,Yarisbeth
IMP,02/04/2020,712,RIGS TECHNOLOGY SAPI DE CV,1392.00,192,0,"1.200,00",0,C8867D6B-A505-4F78-A688-7BD415D3FCAE,Peso Mexicano,Yarisbeth
IMP,02/04/2020,713,ABEL ESPITIA MARTINEZ,269.12,"37,12",0,232,0,E422F50B-3795-4097-ABFD-6E652704A8ED,Peso Mexicano,Yarisbeth
IMP,02/04/2020,714,PRODUCTOS FRUGO,6380.00,880,0,"5.500,00",0,05B7CF1D-3069-48BD-B1EA-BDFFF93C5E71,Peso Mexicano,Yarisbeth
IMP,02/04/2020,715,ESTRATEGIAS FINANCIERAS Y DE PROTECCION PATRIMONIAL UNIR,1345.60,"185,6",0,"1.160,00",0,6D65C30C-677B-447C-8BCD-296055664186,Peso Mexicano,Yarisbeth
IMP,02/04/2020,716,VICTOR KARIM COBOS LOPEZ,134.56,"18,56",0,116,1,7C9494CF-2CBD-45E4-98FB-A8CE7EBCEF9B,Peso Mexicano,Yarisbeth
IMP,02/04/2020,717,IQFRESH TRANSPORT,2018.40,"278,4",0,"1.740,00",0,474E3CF2-CD8D-4C04-90D9-4A741878C648,Peso Mexicano,Yarisbeth
IMP,02/04/2020,718,VAPORIZACIONES  Y MULTISERVICIOS CASILLAS ,336.40,"46,4",0,290,0,BAD21533-4C62-45BF-81E1-7B056B115D9D,Peso Mexicano,Yarisbeth
IMPM,02/04/2020,253,GRUPO MODUS ,4210.80,"580,8",0,"3.630,00",1,9B0A4EF5-0112-41FE-A6EA-152D527D52AD,Peso Mexicano,Yarisbeth
IMP,07/04/2020,719,CHRISTIAN CAROLINA ESTRADA PONCE,5220.00,720,0,"4.500,00",0,C8387CF3-DA4D-40AF-9851-1E2872565B94,Peso Mexicano,Gandhi Flores
